Unnamed: 0,subtitle,sq_mt_built,sq_mt_useful,n_rooms,n_bathrooms,floor,neighborhood_id,rent_price,buy_price,buy_price_by_area,house_type_id,is_renewal_needed,is_new_development,built_year,has_central_heating,has_individual_heating,has_ac,has_fitted_wardrobes,has_lift,is_exterior,has_garden,has_pool,has_terrace,has_balcony,has_storage_room,is_accessible,has_green_zones,energy_certificate,has_parking,is_parking_included_in_price,parking_price,is_orientation_north,is_orientation_west,is_orientation_south,is_orientation_east,built_usable_diff
0,"San Cristóbal, Madrid",64.0,60.0,2,1.0,3,Neighborhood 135: San Cristóbal (1308.89 €/m2) - District 21: Villaverde,471,85000,1328,apartment,0,0,1960.0,1,1,1,1,0,1,1,1,1,1,1,1,1,D,0,1,,0,1,0,0,4.0
1,"Los Ángeles, Madrid",70.0,53.71764540205605,3,1.0,4,Neighborhood 132: Los Ángeles (1796.68 €/m2) - District 21: Villaverde,666,129900,1856,apartment,1,0,1977.0,1,1,1,1,1,1,1,1,1,1,1,1,1,en trámite,0,1,,1,1,1,1,
2,"San Andrés, Madrid",94.0,54.0,2,2.0,1,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,722,144247,1535,apartment,0,0,1977.0,0,1,1,1,1,1,1,1,1,1,1,1,1,no indicado,0,1,,1,1,1,1,40.0
3,"San Andrés, Madrid",64.0,47.71764540205605,2,1.0,0,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,583,109900,1717,apartment,0,0,1955.0,1,1,1,1,1,1,1,1,1,1,1,1,1,en trámite,0,1,,0,0,1,0,
4,"Los Rosales, Madrid",108.0,90.0,2,2.0,4,Neighborhood 133: Los Rosales (1827.79 €/m2) - District 21: Villaverde,1094,260000,2407,apartment,0,0,2003.0,1,1,1,1,1,1,1,1,1,1,1,1,1,en trámite,1,1,0.0,1,1,1,1,18.0
5,"San Andrés, Madrid",126.0,114.0,4,2.0,3,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,901,195000,1548,apartment,0,0,1981.0,0,1,1,1,0,1,1,1,1,1,1,1,1,en trámite,1,1,0.0,0,0,0,1,12.0
6,"San Andrés, Madrid",120.0,100.0,5,2.0,1,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,884,190000,1583,apartment,0,0,1977.0,0,1,1,1,0,1,1,1,1,1,1,1,1,F,1,1,0.0,0,0,1,0,20.0
7,"Villaverde, Madrid",125.0,100.0,3,2.0,2,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,912,198500,1588,apartment,0,0,1977.0,1,1,1,1,0,1,1,1,1,1,1,1,1,no indicado,0,1,,0,0,1,0,25.0
8,"Villaverde, Madrid",84.0,70.0,3,2.0,1,Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,954,212000,2524,apartment,0,0,1977.0,1,1,1,1,1,1,1,1,1,1,1,1,1,F,1,1,0.0,1,1,1,1,14.0
9,"Los Rosales, Madrid",85.0,68.71764540205605,2,1.0,7,Neighborhood 133: Los Rosales (1827.79 €/m2) - District 21: Villaverde,672,131400,1546,apartment,1,0,1950.0,0,1,1,1,0,1,1,1,1,1,1,1,1,en trámite,0,1,,0,1,0,0,
10,"San Andrés, Madrid",69.0,52.71764540205605,2,2.0,2,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,617,118000,1710,apartment,1,0,1963.0,1,1,1,1,0,1,1,1,1,1,1,1,1,en trámite,0,1,,1,1,1,1,
11,"Villaverde, Madrid",122.0,98.0,3,2.0,6,Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,1058,246900,2024,apartment,0,0,1977.0,1,1,1,1,1,1,1,1,1,1,1,1,1,E,1,1,0.0,1,1,1,1,24.0
12,"Los Rosales, Madrid",123.0,104.0,3,2.0,4,Neighborhood 133: Los Rosales (1827.79 €/m2) - District 21: Villaverde,901,195000,1585,apartment,0,0,1992.0,1,1,1,1,1,1,1,1,1,1,1,1,1,D,0,1,,0,0,0,1,19.0
13,"Los Ángeles, Madrid",109.0,90.0,3,2.0,3,Neighborhood 132: Los Ángeles (1796.68 €/m2) - District 21: Villaverde,933,205000,1881,apartment,0,0,1983.0,1,1,1,1,1,1,1,1,1,1,1,1,1,E,0,1,,0,0,1,0,19.0
14,"San Cristóbal, Madrid",64.0,47.71764540205605,3,1.0,3,Neighborhood 135: San Cristóbal (1308.89 €/m2) - District 21: Villaverde,408,72000,1125,apartment,0,0,1960.0,0,1,1,1,0,1,1,1,1,1,1,1,1,F,0,1,,1,1,1,1,
15,"Los Rosales, Madrid",115.0,98.71764540205605,3,1.0,3,Neighborhood 133: Los Rosales (1827.79 €/m2) - District 21: Villaverde,780,160000,1391,apartment,0,0,1977.0,0,1,1,1,1,1,1,1,1,1,1,1,1,en trámite,0,1,,1,1,1,1,
16,"Villaverde, Madrid",115.0,88.0,3,1.0,1,Neighborhood 133: Los Rosales (1827.79 €/m2) - District 21: Villaverde,867,184900,1608,apartment,0,0,1977.0,0,1,1,1,0,1,1,1,1,1,1,1,1,en trámite,0,1,,1,1,1,1,27.0
17,"Villaverde, Madrid",65.0,48.71764540205605,3,1.0,4,Neighborhood 132: Los Ángeles (1796.68 €/m2) - District 21: Villaverde,494,90000,1385,apartment,0,0,1977.0,1,1,1,1,0,1,1,1,1,1,1,1,1,en trámite,0,1,,1,1,1,1,
18,"Villaverde, Madrid",75.0,58.71764540205605,3,1.0,3,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,666,129900,1732,apartment,1,0,1977.0,1,1,1,1,1,1,1,1,1,1,1,1,1,en trámite,0,1,,1,1,1,1,
19,"Villaverde, Madrid",60.0,43.71764540205605,2,1.0,0,Neighborhood 135: San Cristóbal (1308.89 €/m2) - District 21: Villaverde,516,94900,1582,apartment,0,0,1977.0,1,1,1,1,0,1,1,1,1,1,1,1,1,en trámite,0,1,,1,1,1,1,
20,"Villaverde, Madrid",60.0,43.71764540205605,2,1.0,2,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,493,89900,1498,apartment,0,0,1977.0,1,1,1,1,0,1,1,1,1,1,1,1,1,en trámite,0,1,,1,1,1,1,
21,"Villaverde, Madrid",95.0,78.71764540205605,4,2.0,4,Neighborhood 132: Los Ángeles (1796.68 €/m2) - District 21: Villaverde,724,144900,1525,apartment,0,0,1977.0,1,1,1,1,0,1,1,1,1,1,1,1,1,en trámite,0,1,,1,1,1,1,
22,"Villaverde, Madrid",76.0,59.71764540205605,3,1.0,2,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,583,110000,1447,apartment,1,0,1977.0,1,1,1,1,0,1,1,1,1,1,1,1,1,en trámite,0,1,,1,1,1,1,
23,"San Andrés, Madrid",51.0,34.71764540205605,2,1.0,1,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,508,93000,1824,apartment,0,0,1977.0,1,1,1,1,1,1,1,1,1,1,1,1,1,en trámite,0,1,,1,1,1,1,
24,"San Andrés, Madrid",134.0,117.71764540205605,3,2.0,2,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,666,130000,970,apartment,0,0,1977.0,1,1,1,1,1,1,1,1,1,1,1,1,1,en trámite,0,1,,1,1,1,1,
25,"San Andrés, Madrid",62.0,45.71764540205605,2,1.0,2,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,557,104000,1677,apartment,0,1,2020.0,0,1,1,1,1,1,1,1,1,1,1,1,1,en trámite,0,1,,1,1,1,1,
26,"San Andrés, Madrid",75.0,68.0,3,1.0,3,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,698,138000,1840,apartment,0,0,1984.0,0,1,1,1,0,1,1,1,1,1,1,1,1,inmueble exento,1,1,0.0,0,0,0,1,7.0
27,"Villaverde, Madrid",112.0,83.0,4,2.0,2,Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,1148,280000,2500,apartment,0,0,1977.0,0,1,1,1,1,1,1,1,1,1,1,1,1,B,1,1,0.0,0,1,1,1,29.0
28,"Los Rosales, Madrid",65.0,63.0,3,1.0,1,Neighborhood 133: Los Rosales (1827.79 €/m2) - District 21: Villaverde,744,150000,2308,apartment,1,0,1976.0,0,1,1,1,1,1,1,1,1,1,1,1,1,en trámite,0,1,,1,1,1,1,2.0
29,"San Andrés, Madrid",70.0,63.0,2,1.0,3,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,728,145900,2084,apartment,0,0,1968.0,0,1,1,1,0,1,1,1,1,1,1,1,1,E,0,1,,0,0,1,0,7.0
30,"San Andrés, Madrid",75.0,58.71764540205605,1,1.0,1,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,505,92500,1233,apartment,0,1,2008.0,0,1,1,1,1,1,1,1,1,1,1,1,1,en trámite,0,1,,1,1,1,1,
31,"Los Rosales, Madrid",123.0,106.71764540205605,3,2.0,7,Neighborhood 133: Los Rosales (1827.79 €/m2) - District 21: Villaverde,1195,298000,2423,apartment,0,0,2002.0,0,1,1,1,1,1,1,1,1,1,1,1,1,en trámite,1,1,0.0,1,1,1,1,
32,"San Andrés, Madrid",61.0,44.71764540205605,3,1.0,2,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,539,99900,1638,apartment,0,1,2020.0,0,1,1,1,1,1,1,1,1,1,1,1,1,en trámite,0,1,,1,1,1,1,
33,"Villaverde, Madrid",72.0,66.0,2,1.0,3,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,698,138000,1917,apartment,0,0,1977.0,0,1,1,1,0,1,1,1,1,1,1,1,1,en trámite,1,1,0.0,1,1,1,1,6.0
34,"Butarque, Madrid",61.0,56.0,3,1.0,5,Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,539,100000,1639,apartment,0,0,1966.0,0,1,1,1,0,1,1,1,1,1,1,1,1,en trámite,0,1,,1,0,1,0,5.0
35,"San Andrés, Madrid",71.0,54.71764540205605,3,1.0,1,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,672,131400,1851,apartment,1,0,1980.0,0,1,1,1,0,1,1,1,1,1,1,1,1,en trámite,0,1,,1,1,1,1,
36,"Villaverde, Madrid",87.0,70.0,3,1.0,2,Neighborhood 133: Los Rosales (1827.79 €/m2) - District 21: Villaverde,521,96000,1103,apartment,1,0,1977.0,1,1,1,1,0,1,1,1,1,1,1,1,1,E,0,1,,1,1,1,1,17.0
37,"San Andrés, Madrid",60.0,1.0,2,1.0,1,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,758,154000,2567,apartment,0,0,1977.0,1,1,1,1,0,1,1,1,1,1,1,1,1,A,0,1,,0,0,1,0,59.0
38,"Los Ángeles, Madrid",78.0,63.0,4,1.0,2,Neighborhood 132: Los Ángeles (1796.68 €/m2) - District 21: Villaverde,731,146700,1881,apartment,0,1,2020.0,1,1,1,1,1,1,1,1,1,1,1,1,1,G,0,1,,0,0,1,0,15.0
39,"Los Rosales, Madrid",52.0,41.0,1,1.0,1,Neighborhood 133: Los Rosales (1827.79 €/m2) - District 21: Villaverde,505,92500,1779,apartment,0,1,2020.0,0,1,1,1,0,1,1,1,1,1,1,1,1,G,0,1,,1,1,1,1,11.0
40,"Butarque, Madrid",125.0,96.89112903225806,3,3.0,7,Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,1135,275000,2200,duplex,0,0,2004.0,1,1,1,1,1,1,1,1,1,1,1,1,1,D,0,1,,1,1,1,1,
41,"San Andrés, Madrid",75.0,75.0,0,1.0,1,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,465,83800,1117,apartment,0,0,2008.0,0,1,1,1,1,1,1,1,1,1,1,1,1,en trámite,0,1,,1,1,1,1,
42,"Butarque, Madrid",97.0,73.0,2,2.0,0,Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,1111,266122,2744,apartment,0,1,2020.0,1,1,1,1,1,1,1,1,1,1,1,1,1,no indicado,0,1,,1,1,1,1,24.0
43,"Butarque, Madrid",93.0,70.0,2,2.0,7,Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,1004,228273,2455,apartment,0,1,2020.0,1,1,1,1,1,1,1,1,1,1,1,1,1,no indicado,0,1,,1,1,1,1,23.0
44,"Los Ángeles, Madrid",103.0,86.71764540205605,4,2.0,1,Neighborhood 132: Los Ángeles (1796.68 €/m2) - District 21: Villaverde,823,171900,1669,apartment,0,0,1977.0,1,1,1,1,1,1,1,1,1,1,1,1,1,en trámite,0,1,,1,1,1,1,
45,"Butarque, Madrid",83.0,69.0,2,2.0,7,Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,1004,228273,2750,penthouse,0,0,2020.0,0,1,1,1,1,1,1,1,1,1,1,1,1,en trámite,1,1,0.0,1,1,1,1,14.0
46,"Los Rosales, Madrid",45.0,41.0,2,1.0,1,Neighborhood 133: Los Rosales (1827.79 €/m2) - District 21: Villaverde,471,85000,1889,apartment,1,0,1968.0,0,1,1,1,0,1,1,1,1,1,1,1,1,E,0,1,,1,1,1,1,4.0
47,"Los Rosales, Madrid",120.0,103.71764540205605,3,2.0,7,Neighborhood 133: Los Rosales (1827.79 €/m2) - District 21: Villaverde,1195,298000,2483,apartment,0,0,1977.0,0,1,1,1,1,1,1,1,1,1,1,1,1,en trámite,1,1,0.0,1,1,1,1,
48,"Los Ángeles, Madrid",74.0,57.71764540205605,3,1.0,1,Neighborhood 132: Los Ángeles (1796.68 €/m2) - District 21: Villaverde,702,139000,1878,apartment,0,0,1977.0,0,1,1,1,0,1,1,1,1,1,1,1,1,no indicado,0,1,,0,0,1,0,
49,"Butarque, Madrid",125.0,96.89112903225806,3,2.0,7,Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,1128,272500,2180,duplex,0,0,2004.0,0,1,1,1,1,1,1,1,1,1,1,1,1,F,0,1,,1,1,1,1,
50,"Butarque, Madrid",126.0,105.0,4,2.0,0,Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,1135,275000,2183,apartment,0,0,1977.0,0,1,1,1,1,1,1,1,1,1,1,1,1,en trámite,1,1,0.0,0,0,1,1,21.0
51,"Butarque, Madrid",158.0,126.83076923076923,3,2.0,4,Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,1172,289000,1829,penthouse,0,0,2003.0,0,1,1,1,1,1,1,1,1,1,1,1,1,en trámite,1,1,0.0,1,1,1,1,
52,"Villaverde, Madrid",65.0,52.0,2,1.0,1,Neighborhood 133: Los Rosales (1827.79 €/m2) - District 21: Villaverde,604,115000,1769,apartment,0,0,1977.0,1,1,1,1,0,1,1,1,1,1,1,1,1,G,0,1,,1,1,1,1,13.0
53,"Los Ángeles, Madrid",108.0,91.71764540205605,3,2.0,4,Neighborhood 132: Los Ángeles (1796.68 €/m2) - District 21: Villaverde,847,179000,1657,apartment,0,0,1978.0,1,1,1,1,1,1,1,1,1,1,1,1,1,en trámite,0,1,,1,1,1,1,
54,"Villaverde, Madrid",62.0,48.0,2,1.0,0,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,638,123000,1984,apartment,0,0,1984.0,0,1,1,1,1,1,1,1,1,1,1,1,1,E,0,1,,1,0,0,0,14.0
55,"Los Rosales, Madrid",51.0,34.71764540205605,2,1.0,3,Neighborhood 133: Los Rosales (1827.79 €/m2) - District 21: Villaverde,492,89500,1755,apartment,1,0,1967.0,1,1,1,1,0,1,1,1,1,1,1,1,1,en trámite,0,1,,0,0,0,1,
56,"Butarque, Madrid",112.0,80.0,3,2.0,3,Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,1172,289000,2580,apartment,0,0,2013.0,0,1,1,1,1,1,1,1,1,1,1,1,1,E,1,1,0.0,0,0,1,0,32.0
57,"Butarque, Madrid",109.0,92.71764540205605,3,2.0,2,Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,968,216278,1984,apartment,0,1,2020.0,0,1,1,1,1,1,1,1,1,1,1,1,1,no indicado,1,1,0.0,1,1,1,1,
58,"Butarque, Madrid",107.0,90.71764540205605,3,2.0,1,Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,940,207503,1939,apartment,0,1,2020.0,0,1,1,1,1,1,1,1,1,1,1,1,1,no indicado,1,1,0.0,1,1,1,1,
